Time      numa_hit numa_miss numa_foreign numa_interleave numa_local numa_other
22:22:39  607717233 0         0            41252           607689618  27615     
22:22:41  607737547 0         0            41252           607709932  27615     
22:22:43  607756522 0         0            41252           607728907  27615     
22:22:45  607783189 0         0            41252           607755573  27616     
22:22:47  607804331 0         0            41252           607776715  27616     
22:22:49  607824747 0         0            41252           607797131  27616     
Time      numa_hit numa_miss numa_foreign numa_interleave numa_local numa_other
22:22:51  607846029 0         0            41252           607818413  27616     
22:22:53  607866409 0         0            41252           607838793  27616     
22:22:55  607884781 0         0            41252           607857165  27616     
22:22:57  607902738 0         0            41252           607875122  27616     
22:22:59  607921166 0         0            41252           607893549  27617     
22:23:01  607941626 0         0            41252           607914009  27617     
22:23:03  607960790 0         0            41252           607933173  27617     
22:23:05  607979124 0         0            41252           607951507  27617     
22:23:07  607998140 0         0            41252           607970523  27617     
22:23:09  608016524 0         0            41252           607988907  27617     
22:23:11  608035742 0         0            41252           608008125  27617     
22:23:13  608054297 0         0            41252           608026680  27617     
22:23:15  608072905 0         0            41252           608045288  27617     
22:23:17  608091154 0         0            41252           608063537  27617     
22:23:19  608109476 0         0            41252           608081859  27617     
22:23:21  608127964 0         0            41252           608100347  27617     
22:23:23  608146720 0         0            41252           608119103  27617     
22:23:25  608165427 0         0            41252           608137810  27617     
22:23:27  608186671 0         0            41252           608159054  27617     
22:23:29  608214667 0         0            41252           608187050  27617     
22:23:31  608240362 0         0            41252           608212745  27617     
22:23:33  608263398 0         0            41252           608235781  27617     
22:23:35  608284916 0         0            41252           608257299  27617     
22:23:37  608305030 0         0            41252           608277413  27617     
22:23:39  608324559 0         0            41252           608296942  27617     
22:23:41  608344866 0         0            41252           608317249  27617     
22:23:43  608362713 0         0            41252           608335096  27617     
22:23:45  608388279 0         0            41252           608360662  27617     
22:23:47  608408281 0         0            41252           608380664  27617     
22:23:49  608428542 0         0            41252           608400924  27618     
22:23:51  608448422 0         0            41252           608420804  27618     
22:23:53  608468459 0         0            41252           608440841  27618     
22:23:55  608486254 0         0            41252           608458636  27618     
22:23:57  608504876 0         0            41252           608477258  27618     
22:23:59  608522445 0         0            41252           608494827  27618     
22:24:01  608542046 0         0            41252           608514428  27618     
22:24:03  608559832 0         0            41252           608532214  27618     
22:24:05  608577616 0         0            41252           608549998  27618     
22:24:07  608595344 0         0            41252           608567726  27618     
22:24:09  608612668 0         0            41252           608585050  27618     
22:24:11  608631161 0         0            41252           608603543  27618     
22:24:13  608649679 0         0            41252           608622061  27618     
22:24:15  608667179 0         0            41252           608639561  27618     
22:24:18  608685564 0         0            41252           608657946  27618     
22:24:20  608703427 0         0            41252           608675809  27618     
22:24:22  608721196 0         0            41252           608693578  27618     
22:24:24  608737949 0         0            41252           608710331  27618     
22:24:26  608755811 0         0            41252           608728193  27618     
22:24:28  608775951 0         0            41252           608748333  27618     
22:24:30  608804311 0         0            41252           608776693  27618     
22:24:32  608827327 0         0            41252           608799709  27618     
Time      numa_hit numa_miss numa_foreign numa_interleave numa_local numa_other
22:24:34  608851014 0         0            41252           608823396  27618     
22:24:36  608870235 0         0            41252           608842617  27618     
22:24:38  608887024 0         0            41252           608859406  27618     
22:24:40  608904779 0         0            41252           608877161  27618     
22:24:42  608922544 0         0            41252           608894926  27618     
22:24:44  608937969 0         0            41252           608910351  27618     
22:24:46  608959956 0         0            41252           608932338  27618     
22:24:48  608976392 0         0            41252           608948774  27618     
22:24:50  608995070 0         0            41252           608967452  27618     
22:24:52  609012357 0         0            41252           608984739  27618     
22:24:54  609030124 0         0            41252           609002506  27618     
22:24:56  609045212 0         0            41252           609017594  27618     
22:24:58  609060740 0         0            41252           609033122  27618     
22:25:00  609076082 0         0            41252           609048464  27618     
22:25:02  609093889 0         0            41252           609066271  27618     
22:25:04  609111109 0         0            41252           609083491  27618     
22:25:06  609127326 0         0            41252           609099708  27618     
22:25:08  609143252 0         0            41252           609115634  27618     
22:25:10  609157483 0         0            41252           609129865  27618     
22:25:12  609172832 0         0            41252           609145214  27618     
22:25:14  609188393 0         0            41252           609160775  27618     
22:25:16  609203666 0         0            41252           609176048  27618     
22:25:18  609218495 0         0            41252           609190877  27618     
22:25:20  609234026 0         0            41252           609206408  27618     
22:25:22  609250383 0         0            41252           609222765  27618     
22:25:24  609266252 0         0            41252           609238634  27618     
22:25:26  609281370 0         0            41252           609253752  27618     
22:25:28  609297807 0         0            41252           609270189  27618     
22:25:30  609324071 0         0            41252           609296453  27618     
22:25:32  609342387 0         0            41252           609314769  27618     
22:25:34  609361741 0         0            41252           609334122  27619     
22:25:36  609381384 0         0            41252           609353765  27619     
22:25:38  609399707 0         0            41252           609372088  27619     
22:25:40  609417371 0         0            41252           609389752  27619     
22:25:42  609432045 0         0            41252           609404426  27619     
22:25:44  609443218 0         0            41252           609415599  27619     
22:25:46  609463102 0         0            41252           609435483  27619     
22:25:48  609475489 0         0            41252           609447870  27619     
22:25:50  609492333 0         0            41252           609464714  27619     
22:25:52  609507667 0         0            41252           609480048  27619     
22:25:54  609520642 0         0            41252           609493023  27619     
22:25:56  609532907 0         0            41252           609505288  27619     
22:25:58  609542245 0         0            41252           609514626  27619     
22:26:00  609554449 0         0            41252           609526830  27619     
22:26:02  609568743 0         0            41252           609541124  27619     
22:26:04  609585986 0         0            41252           609558367  27619     
22:26:06  609606725 0         0            41252           609579106  27619     
22:26:08  609627106 0         0            41252           609599487  27619     
22:26:10  609648385 0         0            41252           609620766  27619     
22:26:12  609669470 0         0            41252           609641851  27619     
22:26:14  609690690 0         0            41252           609663071  27619     
Time      numa_hit numa_miss numa_foreign numa_interleave numa_local numa_other
22:26:16  609710837 0         0            41252           609683218  27619     
22:26:18  609729543 0         0            41252           609701924  27619     
22:26:20  609746335 0         0            41252           609718716  27619     
22:26:22  609764115 0         0            41252           609736496  27619     
22:26:24  609779748 0         0            41252           609752129  27619     
22:26:26  609800476 0         0            41252           609772857  27619     
22:26:28  609824447 0         0            41252           609796828  27619     
22:26:30  609859010 0         0            41252           609831391  27619     
22:26:32  609885438 0         0            41252           609857819  27619     
22:26:34  609914039 0         0            41252           609886419  27620     
