Linux 3.2.0-31-virtual (ip-10-124-138-93) 	06/17/2014 	_x86_64_	(2 CPU)

12:20:52 AM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest     %idle
12:29:22 AM     all      1.52      0.00      0.51      0.25      2.78      0.00      0.25      0.00     94.68
12:29:24 AM     all      1.02      0.00      0.51      0.00      2.81      0.00      0.00      0.00     95.65
12:29:26 AM     all      1.34      0.00      0.27      0.00      0.27      0.00      0.00      0.00     98.13
12:29:28 AM     all      0.27      0.00      0.00      0.27      0.00      0.00      0.00      0.00     99.47
12:29:30 AM     all      0.00      0.00      0.27      0.00      0.27      0.00      0.00      0.00     99.47
12:29:32 AM     all      4.26      0.00      0.27      0.00      0.27      0.00      0.00      0.00     95.21
12:29:34 AM     all      2.11      0.00      0.26      0.00      2.37      0.00      0.00      0.00     95.25
12:29:36 AM     all      0.78      0.00      0.00      0.00      1.81      0.00      0.00      0.00     97.41
12:29:38 AM     all      0.79      0.00      0.53      0.00      0.00      0.00      0.26      0.00     98.42
12:29:40 AM     all      0.00      0.00      1.03      0.00      2.82      0.00      0.00      0.00     96.15
12:29:42 AM     all      0.52      0.00      1.03      0.00      1.29      0.00      0.77      0.00     96.39
12:29:44 AM     all      0.00      0.00      1.78      0.25      1.78      0.00      1.02      0.00     95.17
12:29:46 AM     all      0.76      0.00      1.26      0.00      2.77      0.00      2.02      0.00     93.20
12:29:48 AM     all      0.25      0.00      1.02      0.00      3.05      0.00      1.78      0.00     93.89
12:29:50 AM     all      0.51      0.00      1.78      0.00      1.27      0.00      1.27      0.00     95.17
12:29:52 AM     all      0.26      0.00      1.56      0.00      1.82      0.00      0.78      0.00     95.57
12:29:54 AM     all      0.78      0.00      0.52      0.00      1.82      0.00      0.00      0.00     96.88
12:29:56 AM     all      0.26      0.00      0.51      0.26      2.82      0.00      0.00      0.00     96.15
12:29:58 AM     all      0.26      0.00      0.78      0.00      1.56      0.00      0.00      0.00     97.40
12:30:00 AM     all      0.26      0.00      0.78      0.00      3.13      0.00      0.00      0.00     95.82
12:30:02 AM     all      3.05      0.00      1.02      0.00      3.30      0.00      0.00      0.00     92.64
12:30:04 AM     all      0.52      0.00      0.78      0.00      2.60      0.00      0.00      0.00     96.10
12:30:06 AM     all      1.05      0.00      1.05      0.00      1.57      0.00      0.00      0.00     96.33
12:30:08 AM     all      1.04      0.00      0.52      0.78      1.83      0.00      0.00      0.00     95.82
12:30:10 AM     all      1.07      0.00      1.60      0.00      0.00      0.00      0.00      0.00     97.33
12:30:12 AM     all      0.79      0.00      0.79      0.00      1.58      0.00      0.00      0.00     96.84
12:30:14 AM     all      0.00      0.00      0.81      0.00      0.27      0.00      0.00      0.00     98.92
12:30:16 AM     all      1.01      0.00      0.50      0.00      4.28      0.00      0.00      0.00     94.21
12:30:18 AM     all      0.79      0.00      1.05      0.00      0.26      0.00      0.00      0.00     97.90
12:30:20 AM     all      0.26      0.00      0.79      0.26      0.00      0.00      0.00      0.00     98.68
12:30:22 AM     all      0.77      0.00      0.77      0.00      3.32      0.00      0.00      0.00     95.15
12:30:24 AM     all      1.30      0.00      0.52      0.00      1.55      0.00      0.00      0.00     96.63
12:30:26 AM     all      1.77      0.00      1.01      0.00      2.53      0.00      0.00      0.00     94.70
