Time      compact_pages_moved compact_stall compact_fail compact_success thp_fault_alloc thp_fault_fallback thp_collapse_alloc thp_collapse_alloc_failed thp_split
22:22:40  1515367             1749          417          1332            502803          768                745                0                         2928     
22:22:42  1515367             1749          417          1332            502803          768                745                0                         2928     
22:22:44  1515367             1749          417          1332            502803          768                745                0                         2928     
22:22:46  1515367             1749          417          1332            502803          768                745                0                         2928     
22:22:48  1515367             1749          417          1332            502803          768                745                0                         2928     
22:22:50  1515367             1749          417          1332            502803          768                745                0                         2928     
22:22:52  1515367             1749          417          1332            502803          768                745                0                         2928     
22:22:54  1515367             1749          417          1332            502803          768                745                0                         2928     
22:22:56  1515367             1749          417          1332            502803          768                745                0                         2928     
22:22:58  1515367             1749          417          1332            502803          768                745                0                         2928     
22:23:00  1515367             1749          417          1332            502803          768                745                0                         2928     
22:23:02  1515367             1749          417          1332            502803          768                745                0                         2928     
22:23:04  1515367             1749          417          1332            502803          768                745                0                         2928     
22:23:06  1515367             1749          417          1332            502803          768                745                0                         2928     
22:23:08  1515367             1749          417          1332            502803          768                745                0                         2928     
22:23:10  1515367             1749          417          1332            502803          768                745                0                         2928     
22:23:12  1515367             1749          417          1332            502803          768                745                0                         2928     
22:23:14  1515367             1749          417          1332            502803          768                745                0                         2928     
22:23:16  1515367             1749          417          1332            502803          768                745                0                         2928     
22:23:18  1515367             1749          417          1332            502803          768                745                0                         2928     
22:23:20  1515367             1749          417          1332            502803          768                745                0                         2928     
22:23:22  1515367             1749          417          1332            502803          768                745                0                         2928     
22:23:24  1515367             1749          417          1332            502803          768                745                0                         2928     
22:23:26  1515367             1749          417          1332            502803          768                745                0                         2928     
22:23:28  1515367             1749          417          1332            502803          768                745                0                         2928     
22:23:30  1515367             1749          417          1332            502803          768                745                0                         2928     
22:23:32  1515367             1749          417          1332            502803          768                745                0                         2928     
22:23:34  1515367             1749          417          1332            502803          768                745                0                         2928     
22:23:36  1515367             1749          417          1332            502803          768                745                0                         2928     
22:23:38  1515367             1749          417          1332            502803          768                745                0                         2928     
22:23:40  1515367             1749          417          1332            502803          768                745                0                         2928     
22:23:42  1515367             1749          417          1332            502803          768                745                0                         2928     
22:23:44  1515367             1749          417          1332            502803          768                745                0                         2928     
22:23:46  1515367             1749          417          1332            502803          768                745                0                         2928     
22:23:48  1515367             1749          417          1332            502803          768                745                0                         2928     
22:23:50  1515367             1749          417          1332            502803          768                745                0                         2928     
22:23:52  1515367             1749          417          1332            502803          768                745                0                         2928     
22:23:54  1515367             1749          417          1332            502803          768                745                0                         2928     
Time      compact_pages_moved compact_stall compact_fail compact_success thp_fault_alloc thp_fault_fallback thp_collapse_alloc thp_collapse_alloc_failed thp_split
22:23:56  1515367             1749          417          1332            502803          768                745                0                         2928     
22:23:58  1515367             1749          417          1332            502803          768                745                0                         2928     
22:24:00  1515367             1749          417          1332            502803          768                745                0                         2928     
22:24:02  1515367             1749          417          1332            502803          768                745                0                         2928     
22:24:04  1515367             1749          417          1332            502803          768                745                0                         2928     
22:24:06  1515367             1749          417          1332            502803          768                745                0                         2928     
22:24:08  1515367             1749          417          1332            502803          768                745                0                         2928     
22:24:10  1515367             1749          417          1332            502803          768                745                0                         2928     
22:24:12  1515367             1749          417          1332            502803          768                745                0                         2928     
22:24:14  1515367             1749          417          1332            502803          768                745                0                         2928     
22:24:16  1515367             1749          417          1332            502803          768                745                0                         2928     
22:24:18  1515367             1749          417          1332            502803          768                745                0                         2928     
22:24:20  1515367             1749          417          1332            502803          768                745                0                         2928     
22:24:22  1515367             1749          417          1332            502803          768                745                0                         2928     
22:24:24  1515367             1749          417          1332            502803          768                745                0                         2928     
22:24:26  1515367             1749          417          1332            502803          768                745                0                         2928     
22:24:28  1515367             1749          417          1332            502803          768                745                0                         2928     
22:24:30  1515367             1749          417          1332            502803          768                745                0                         2928     
22:24:32  1515367             1749          417          1332            502803          768                745                0                         2928     
22:24:34  1515367             1749          417          1332            502803          768                745                0                         2928     
22:24:36  1515367             1749          417          1332            502803          768                745                0                         2928     
22:24:38  1515367             1749          417          1332            502803          768                745                0                         2928     
22:24:40  1515367             1749          417          1332            502803          768                745                0                         2928     
22:24:42  1515367             1749          417          1332            502803          768                745                0                         2928     
22:24:44  1515367             1749          417          1332            502803          768                745                0                         2928     
22:24:46  1515367             1749          417          1332            502803          768                745                0                         2928     
22:24:48  1515367             1749          417          1332            502803          768                745                0                         2928     
22:24:50  1515367             1749          417          1332            502803          768                745                0                         2928     
22:24:52  1515367             1749          417          1332            502803          768                745                0                         2928     
22:24:54  1515367             1749          417          1332            502803          768                745                0                         2928     
22:24:56  1515367             1749          417          1332            502803          768                745                0                         2928     
22:24:58  1515367             1749          417          1332            502803          768                745                0                         2928     
22:25:00  1515367             1749          417          1332            502803          768                745                0                         2928     
22:25:02  1515367             1749          417          1332            502803          768                745                0                         2928     
22:25:04  1515367             1749          417          1332            502803          768                745                0                         2928     
22:25:06  1515367             1749          417          1332            502803          768                745                0                         2928     
22:25:08  1515367             1749          417          1332            502803          768                745                0                         2928     
22:25:10  1515367             1749          417          1332            502803          768                745                0                         2928     
22:25:12  1515367             1749          417          1332            502803          768                745                0                         2928     
22:25:14  1515367             1749          417          1332            502803          768                745                0                         2928     
22:25:16  1515367             1749          417          1332            502803          768                745                0                         2928     
22:25:18  1515367             1749          417          1332            502803          768                745                0                         2928     
22:25:20  1515367             1749          417          1332            502803          768                745                0                         2928     
22:25:22  1515367             1749          417          1332            502803          768                745                0                         2928     
22:25:24  1515367             1749          417          1332            502803          768                745                0                         2928     
22:25:26  1515367             1749          417          1332            502803          768                745                0                         2928     
22:25:28  1515367             1749          417          1332            502803          768                745                0                         2928     
22:25:30  1515367             1749          417          1332            502803          768                745                0                         2928     
22:25:32  1515367             1749          417          1332            502803          768                745                0                         2928     
22:25:34  1515367             1749          417          1332            502803          768                745                0                         2928     
22:25:36  1515367             1749          417          1332            502803          768                745                0                         2928     
Time      compact_pages_moved compact_stall compact_fail compact_success thp_fault_alloc thp_fault_fallback thp_collapse_alloc thp_collapse_alloc_failed thp_split
22:25:38  1515367             1749          417          1332            502803          768                745                0                         2928     
22:25:40  1515367             1749          417          1332            502803          768                745                0                         2928     
22:25:42  1515367             1749          417          1332            502803          768                745                0                         2928     
22:25:44  1515367             1749          417          1332            502803          768                745                0                         2928     
22:25:47  1515367             1749          417          1332            502803          768                745                0                         2928     
22:25:49  1515367             1749          417          1332            502803          768                745                0                         2928     
22:25:51  1515367             1749          417          1332            502803          768                745                0                         2928     
22:25:53  1515367             1749          417          1332            502803          768                745                0                         2928     
22:25:55  1515367             1749          417          1332            502803          768                745                0                         2928     
22:25:57  1515367             1749          417          1332            502803          768                745                0                         2928     
22:25:59  1515367             1749          417          1332            502803          768                745                0                         2928     
22:26:01  1515367             1749          417          1332            502803          768                745                0                         2928     
22:26:03  1515367             1749          417          1332            502803          768                745                0                         2928     
22:26:05  1515367             1749          417          1332            502803          768                745                0                         2928     
22:26:07  1515367             1749          417          1332            502803          768                745                0                         2928     
22:26:09  1515367             1749          417          1332            502803          768                745                0                         2928     
22:26:11  1515367             1749          417          1332            502803          768                745                0                         2928     
22:26:13  1515367             1749          417          1332            502803          768                745                0                         2928     
22:26:15  1515367             1749          417          1332            502803          768                745                0                         2928     
22:26:17  1515367             1749          417          1332            502803          768                745                0                         2928     
22:26:19  1515367             1749          417          1332            502803          768                745                0                         2928     
22:26:21  1515367             1749          417          1332            502803          768                745                0                         2928     
22:26:23  1515367             1749          417          1332            502803          768                745                0                         2928     
22:26:25  1515367             1749          417          1332            502803          768                745                0                         2928     
22:26:27  1515367             1749          417          1332            502803          768                745                0                         2928     
22:26:29  1515367             1749          417          1332            502803          768                745                0                         2928     
22:26:31  1515367             1749          417          1332            502803          768                745                0                         2928     
22:26:33  1515367             1749          417          1332            502803          768                745                0                         2928     
22:26:35  1515367             1749          417          1332            502803          768                745                0                         2928     
22:26:37  1515367             1749          417          1332            502803          768                745                0                         2928     
22:26:39  1515367             1749          417          1332            502803          768                745                0                         2928     
22:26:41  1515367             1749          417          1332            502803          768                745                0                         2928     
22:26:43  1515367             1749          417          1332            502803          768                745                0                         2928     
22:26:45  1515367             1749          417          1332            502803          768                745                0                         2928     
22:26:47  1515367             1749          417          1332            502803          768                745                0                         2928     
22:26:49  1515367             1749          417          1332            502803          768                745                0                         2928     
22:26:51  1515367             1749          417          1332            502803          768                745                0                         2928     
