Linux 2.6.32-431.3.1.el6.x86_64 (mule-perflab06.managed.contegix.com) 	06/18/2014 	_x86_64_	(24 CPU)

05:18:49 PM   frmpg/s   bufpg/s   campg/s
05:36:27 PM    -45.45      0.00      1.52
05:36:29 PM    -78.89      0.00      1.51
05:36:31 PM     96.45      0.00      1.02
05:36:33 PM    -93.43      0.00      1.01
05:36:35 PM    -78.39      0.00      2.01
05:36:37 PM     61.81      0.00      1.01
05:36:39 PM    -29.08      0.00      2.04
05:36:41 PM     32.83      0.00      1.01
05:36:43 PM     63.64      0.00      1.52
05:36:45 PM    -60.80      0.00      1.51
05:36:47 PM    -42.86      0.00      0.51
05:36:49 PM     34.34      0.00      2.53
05:36:51 PM    -29.44      0.00      1.52
05:36:53 PM     31.63      0.00      1.53
05:36:55 PM    -20.60      0.00      2.01
05:36:57 PM  -1286.93      0.00      1.01
05:36:59 PM   1152.04      0.00      2.04
05:37:01 PM    110.15      0.00      2.03
05:37:03 PM     -1.02      0.00      1.52
05:37:05 PM    173.87      0.00      1.01
05:37:07 PM  -1128.06      0.00      2.04
05:37:09 PM    935.53      0.51      3.55
05:37:11 PM  -1138.07      0.00      1.02
05:37:13 PM    107.04      0.00      1.01
05:37:15 PM   1102.01      0.00      1.51
05:37:17 PM    -78.17      0.00      1.02
05:37:19 PM    -31.31      0.00      2.02
05:37:21 PM    -38.19      0.00      1.51
05:37:23 PM    -12.63      0.00      1.52
05:37:25 PM     94.47      0.00      1.51
05:37:27 PM     93.47      0.00      1.51
05:37:29 PM     18.69      0.00      2.02
05:37:31 PM    -47.72      0.00      1.02
05:37:33 PM    108.04      0.00      2.51
05:37:35 PM    -45.45      0.00      0.51
05:37:37 PM     58.59      0.00      0.51
05:37:39 PM    -45.69      0.00      1.52
05:37:41 PM    -18.50      0.00      2.00
05:37:43 PM    109.64      0.00      1.02
05:37:45 PM    -73.50      0.00      2.00
05:37:47 PM    -44.39      0.00      1.02
05:37:49 PM    -25.76      0.00      2.02
05:37:51 PM     29.29      0.00      1.01
05:37:53 PM     16.08      0.00      1.01
05:37:55 PM     14.80      0.00      1.53
05:37:57 PM  -1278.17      0.00      1.52
05:37:59 PM   1233.50      0.00      1.52
05:38:01 PM   -108.54      0.00      2.01
05:38:03 PM     44.72      0.00      1.51
05:38:05 PM   -109.09      0.00      2.53
05:38:07 PM  -1058.76      0.00      1.55
05:38:09 PM   1164.65      0.00      2.53
05:38:11 PM  -1226.26      0.00      1.01
05:38:13 PM    -70.85      0.00      1.01
05:38:15 PM    973.23      0.00      1.52
05:38:17 PM     91.96      0.00      1.01
05:38:19 PM     63.96      0.00      1.52
05:38:21 PM     79.80      0.00      2.53
05:38:23 PM     78.28      0.00      0.51
05:38:25 PM   -129.29      0.00      1.52
05:38:27 PM    174.37      0.00      1.01
05:38:29 PM     16.67      0.00      2.53
05:38:31 PM   -293.97      0.00      2.01
05:38:33 PM    155.05      0.00      0.51
05:38:35 PM    -64.80      0.00      2.55
05:38:37 PM     34.50      0.00      2.00
05:38:39 PM    -30.30      0.00      2.02
05:38:41 PM     94.47      0.00      0.50
