Linux 2.6.32-431.3.1.el6.x86_64 (mule-perflab06.managed.contegix.com) 	06/18/2014 	_x86_64_	(24 CPU)

05:18:49 PM  active/s passive/s    iseg/s    oseg/s
05:30:27 PM      0.50      0.00   9132.00  10025.50
05:30:29 PM      0.50      0.00   9990.45  10352.76
05:30:31 PM      0.00      0.00   8820.10   9471.86
05:30:33 PM      0.51      0.00   7717.68   8789.39
05:30:35 PM      0.50      0.00   8909.50   9578.00
05:30:37 PM      0.00      0.00   7752.53   8856.06
05:30:39 PM      0.51      0.00   9662.12   9634.85
05:30:41 PM      0.51      0.00   8988.38   9858.59
05:30:43 PM      0.00      0.00   8957.79   9661.81
05:30:45 PM      0.51      0.00   8773.60  10006.60
05:30:47 PM      0.51      0.00   8726.26   9535.35
05:30:49 PM      0.00      0.00   8708.54  10169.35
05:30:51 PM      0.50      0.00   8685.93   9415.08
05:30:53 PM      0.51      0.00   8859.09   9611.11
05:30:55 PM      0.00      0.00   8744.67  10103.55
05:30:57 PM      0.51      0.00   7528.79   9434.34
05:30:59 PM      0.50      0.00   8748.74  10664.82
05:31:01 PM      0.00      0.00   8842.42  10746.46
05:31:03 PM      0.51      0.00   8330.30  10610.61
05:31:05 PM      0.51      0.00   7416.33   8554.59
05:31:07 PM      0.00      0.00   8922.11   9961.31
05:31:09 PM      0.51      0.00   6614.21   8694.42
05:31:11 PM      0.51      0.00   8958.59  10212.63
05:31:13 PM      0.51      0.00   7698.48   8850.76
05:31:15 PM      0.51      0.00   9170.56   9987.31
05:31:17 PM      0.50      0.00   6999.50   9308.96
05:31:19 PM      0.00      0.00   7245.73   9422.11
05:31:21 PM      0.51      0.00   8502.02   8977.27
05:31:23 PM      0.50      0.00   7876.88   9040.70
05:31:25 PM      0.00      0.00   9667.68   8230.81
05:31:27 PM      0.50      0.00   8735.00  10366.00
05:31:29 PM      0.50      0.00   9550.75  10164.32
05:31:31 PM      0.00      0.00   8973.10  11393.91
05:31:33 PM      0.50      0.00   8588.44  10495.48
05:31:35 PM      0.50      0.00   8771.36  10346.73
05:31:37 PM      0.00      0.00   7826.02   9251.53
05:31:39 PM      0.50      0.00   7894.00   8939.00
05:31:41 PM      0.50      0.00   9129.65   9966.83
05:31:43 PM      0.00      0.00   8987.31   9877.66
05:31:45 PM      0.50      0.00   7913.93   8409.95
05:31:47 PM      0.51      0.00   8221.32   8357.36
05:31:49 PM      0.00      0.00   8520.90   9458.71
05:31:51 PM      0.51      0.00   8647.45   9836.22
05:31:53 PM      0.51      0.00  12334.85  10455.05
05:31:55 PM      0.00      0.00   6964.65   8544.44
05:31:57 PM      0.51      0.00   7272.73   8945.96
05:31:59 PM      0.51      0.00   8940.10   9780.71
05:32:01 PM      0.00      0.00   9033.83   8909.45
05:32:03 PM      0.51      0.00   9130.46  10521.32
05:32:05 PM      0.51      0.00   9019.80   9787.82
05:32:07 PM      0.50      0.00   9182.50   9681.00
05:32:09 PM      0.50      0.00  11749.75   9771.36
05:32:11 PM      0.50      0.00   8941.21  10408.54
05:32:13 PM      0.00      0.00   7578.28   8736.87
05:32:15 PM      0.51      0.00   9036.92   9893.85
05:32:17 PM      0.51      0.00  11493.88  10002.55
05:32:19 PM      0.00      0.00   6760.91   8663.96
05:32:21 PM      0.50      0.00   8908.04  10044.72
05:32:23 PM      0.50      0.00   9089.45  10352.26
05:32:25 PM      0.00      0.00   8827.50  10309.00
05:32:27 PM      0.51      0.00   9134.52  10495.94
05:32:29 PM      0.51      0.00  12386.80   8920.81
05:32:31 PM      0.00      0.00   9424.12  10604.52
05:32:33 PM      0.50      0.00   8955.78  11130.65
05:32:35 PM      0.51      0.00   8794.44  10196.46
05:32:37 PM      0.00      0.00   9039.29  10495.92
05:32:39 PM      0.51      0.00   8133.84   7580.81
