Linux 2.6.32-431.3.1.el6.x86_64 (mule-perflab06.managed.contegix.com) 	06/18/2014 	_x86_64_	(24 CPU)

05:18:49 PM    proc/s   cswch/s
05:34:17 PM      9.05  26106.53
05:34:19 PM      8.54  30776.38
05:34:21 PM      8.12  37975.13
05:34:23 PM      5.03  37294.47
05:34:25 PM      4.59  37378.57
05:34:27 PM      6.00  37334.50
05:34:29 PM      6.09  37040.61
05:34:31 PM      7.54  38063.82
05:34:33 PM      6.09  38000.00
05:34:35 PM      6.09  37630.46
05:34:37 PM      6.60  37789.85
05:34:39 PM      6.06  36738.89
05:34:41 PM      6.03  36401.01
05:34:43 PM      6.09  37514.72
05:34:45 PM      6.00  38236.00
05:34:47 PM      6.09  30530.96
05:34:49 PM      6.57  30785.86
05:34:51 PM      8.08  37529.80
05:34:53 PM      6.03  35247.74
05:34:55 PM      7.50  34671.00
05:34:57 PM     18.00  33542.00
05:34:59 PM      7.61  32690.36
05:35:01 PM      7.50  37056.00
05:35:03 PM      6.00  36674.00
05:35:05 PM     10.15  38986.80
05:35:07 PM     12.56  38196.48
05:35:09 PM      7.54  37455.28
05:35:11 PM     13.00  38068.00
05:35:13 PM     11.56  36974.37
05:35:15 PM     14.72  38238.58
05:35:17 PM      8.54  38147.24
05:35:19 PM      8.54  37630.65
05:35:21 PM      8.04  36305.03
05:35:23 PM      6.03  35717.09
05:35:25 PM      6.09  30798.98
05:35:27 PM      6.09  33161.93
05:35:29 PM      6.09  37981.73
05:35:31 PM      7.61  33766.50
05:35:33 PM      6.06  32726.77
05:35:35 PM      6.06  37462.63
05:35:37 PM      6.63  37797.45
05:35:39 PM      6.00  37253.00
05:35:41 PM      5.97  34969.65
05:35:43 PM      4.62  30791.79
05:35:45 PM      4.59  38156.12
05:35:47 PM      6.00  37123.50
05:35:49 PM      6.06  31898.48
05:35:51 PM      8.04  36834.17
05:35:53 PM      6.03  37237.19
05:35:55 PM      8.08  37214.65
05:35:57 PM     18.59  30773.37
05:35:59 PM      7.58  34825.25
05:36:01 PM      7.61  36735.53
05:36:03 PM      7.61  37787.82
05:36:05 PM     12.18  37698.48
05:36:07 PM     11.50  37980.00
05:36:09 PM      7.54  37269.35
05:36:11 PM     11.62  29160.61
05:36:13 PM     13.07  32921.11
05:36:15 PM     14.65  33966.67
05:36:17 PM      8.59  33198.48
05:36:19 PM      8.59  38115.66
05:36:21 PM      8.08  37260.61
05:36:23 PM      4.55  36984.85
05:36:25 PM      4.52  36964.32
05:36:27 PM      6.03  37388.44
05:36:29 PM      6.57  38007.07
05:36:31 PM      7.58  38048.48
05:36:33 PM      6.09  36989.85
05:36:35 PM      6.00  37063.00
05:36:37 PM      7.00  36750.50
05:36:39 PM      6.15  37982.05
05:36:41 PM      6.06  33005.56
05:36:43 PM      6.06  38778.28
05:36:45 PM      6.06  38353.03
05:36:47 PM      6.12  38430.10
05:36:49 PM      6.06  33215.15
05:36:51 PM      7.61  37685.28
05:36:53 PM      6.09  37945.18
05:36:55 PM      7.54  37634.17
05:36:57 PM     17.17  36047.98
05:36:59 PM      8.63  31204.57
05:37:01 PM      7.65  38593.37
05:37:03 PM      6.09  37847.72
05:37:05 PM     10.05  37931.16
05:37:07 PM     11.68  33502.03
05:37:09 PM      8.12  36699.49
05:37:11 PM     11.73  35552.55
05:37:13 PM     13.07  29802.51
05:37:15 PM     14.57  26252.26
05:37:17 PM      8.63  37732.99
05:37:19 PM      8.54  34767.84
05:37:21 PM      7.54  34802.51
05:37:23 PM      6.09  37926.90
05:37:25 PM      6.03  37226.13
05:37:27 PM      6.53  37338.19
05:37:29 PM      6.57  35132.83
05:37:31 PM      7.61  29925.38
05:37:33 PM      6.03  38271.86
05:37:35 PM      6.06  38125.25
05:37:37 PM      7.07  38014.14
05:37:39 PM      6.06  37366.16
05:37:41 PM      6.03  27870.85
05:37:43 PM      4.55  34227.78
05:37:45 PM      4.52  35346.73
05:37:47 PM      6.09  38040.10
05:37:49 PM      6.06  37439.90
05:37:51 PM      8.63  37878.68
05:37:53 PM      6.03  37022.61
05:37:55 PM      7.61  38540.10
05:37:57 PM     17.86  33621.43
05:37:59 PM      9.64  38487.31
05:38:01 PM      7.54  38290.95
05:38:03 PM      7.54  38016.08
05:38:05 PM     11.62  38034.85
05:38:07 PM     11.79  39302.56
05:38:09 PM      7.61  33612.18
05:38:11 PM     11.62  37436.87
05:38:13 PM     13.07  38728.64
05:38:15 PM     14.65  37515.66
05:38:17 PM      8.54  32746.73
05:38:19 PM      8.63  38441.62
05:38:21 PM      6.06  33180.81
05:38:23 PM      4.55  35526.77
05:38:25 PM      6.06  33141.92
05:38:27 PM      6.03  22395.48
05:38:29 PM      6.06  35772.22
05:38:31 PM      7.54  38030.15
05:38:33 PM      6.06  38700.00
05:38:35 PM      6.06  32657.58
05:38:37 PM      6.57  37222.22
05:38:39 PM      6.00  36454.50
05:38:41 PM      6.09  38316.24
05:38:43 PM      6.03  37138.69
05:38:45 PM      6.09  35584.26
05:38:47 PM      6.06  31062.12
05:38:49 PM      6.03  34235.18
05:38:51 PM      9.18  34277.04
05:38:53 PM      6.09  39370.05
05:38:55 PM      7.61  35313.20
05:38:57 PM     17.59  36412.56
05:38:59 PM      8.63  31336.55
05:39:01 PM      7.54  37164.32
05:39:03 PM      6.06  37523.23
05:39:05 PM     13.57  37909.05
05:39:07 PM     12.06  33510.05
05:39:09 PM      7.65  32976.53
05:39:11 PM     11.68  37323.86
05:39:13 PM     13.13  34344.44
05:39:15 PM     14.57  32746.73
05:39:17 PM      8.54  37356.28
05:39:19 PM      8.59  37790.40
05:39:21 PM      7.54  37143.72
05:39:23 PM      6.09  37765.99
05:39:25 PM      6.09  36865.99
05:39:27 PM      6.06  37926.26
05:39:29 PM      6.00  37764.00
05:39:31 PM      7.61  33623.35
05:39:33 PM      6.09  37571.57
05:39:35 PM      5.97  36301.00
05:39:37 PM      6.60  38342.13
05:39:39 PM      6.12  39013.78
05:39:41 PM      6.00  38065.00
05:39:43 PM      4.55  38946.46
05:39:45 PM      4.50  36512.50
05:39:47 PM      6.12  33633.16
05:39:49 PM      6.06  37247.98
05:39:51 PM      7.54  37584.92
05:39:53 PM      5.05  37857.07
05:39:55 PM      7.11  37644.16
05:39:57 PM     17.77  33358.88
05:39:59 PM      8.50  33189.00
05:40:01 PM      7.61  33774.62
05:40:03 PM      8.63  38247.72
05:40:05 PM     12.06  37538.19
05:40:07 PM     11.56  38117.09
05:40:09 PM      7.58  37682.32
05:40:11 PM     13.07  31501.01
05:40:13 PM     11.56  39048.74
05:40:15 PM     14.65  41678.79
05:40:17 PM      8.63  30753.81
05:40:19 PM      8.50  36908.50
05:40:21 PM      8.12  37413.20
05:40:23 PM      5.03  37934.17
05:40:25 PM      4.50  37126.50
05:40:27 PM      6.12  38895.92
05:40:29 PM      6.06  38318.18
05:40:31 PM      7.58  37545.45
05:40:33 PM      6.03  38347.24
05:40:35 PM      6.03  38229.15
05:40:37 PM      6.53  38180.90
05:40:39 PM      7.58  36028.79
05:40:41 PM      6.06  36769.70
05:40:43 PM      6.06  37673.74
05:40:45 PM      6.03  37158.29
05:40:47 PM      6.06  35101.01
05:40:49 PM      6.09  25898.48
05:40:51 PM      8.08  37632.83
05:40:53 PM      6.06  32312.63
05:40:55 PM      7.54  37388.94
05:40:57 PM     17.59  33202.01
05:40:59 PM      8.63  33374.11
05:41:01 PM      7.61  30737.06
05:41:03 PM      4.50  36548.00
05:41:05 PM     10.20  37131.63
05:41:07 PM     11.62  37471.72
05:41:09 PM      8.04  37218.09
05:41:11 PM     11.62  36912.63
05:41:13 PM     13.20  38386.80
05:41:15 PM     14.65  36752.02
05:41:17 PM      9.09  37831.82
05:41:19 PM      8.63  33038.58
05:41:21 PM      8.04  33224.62
05:41:23 PM      6.06  32753.54
05:41:25 PM      6.09  38551.27
05:41:27 PM      6.12  37004.59
05:41:29 PM      6.06  35491.92
05:41:31 PM      7.54  35088.94
